sample,group,short_reads_1,short_reads_2,longs_reads
SRR3480231,SRS1424505,SRR3480231_1.fastq.gz,SRR3480231_2.fastq.gz,
SRR3480232,SRS1424506,SRR3480232_1.fastq.gz,SRR3480232_2.fastq.gz,
SRR3480233,SRS1424507,SRR3480233_1.fastq.gz,SRR3480233_2.fastq.gz,
SRR3480234,SRS1424508,SRR3480234_1.fastq.gz,SRR3480234_2.fastq.gz,
SRR3480235,SRS1424509,SRR3480235_1.fastq.gz,SRR3480235_2.fastq.gz,
SRR3480236,SRS1424510,SRR3480236_1.fastq.gz,SRR3480236_2.fastq.gz,
SRR3480246,SRS1424510,SRR3480246_1.fastq.gz,SRR3480246_2.fastq.gz,
SRR3480247,SRS1424510,SRR3480247_1.fastq.gz,SRR3480247_2.fastq.gz,
SRR3480248,SRS1424519,SRR3480248_1.fastq.gz,SRR3480248_2.fastq.gz,
SRR3480249,SRS1424520,SRR3480249_1.fastq.gz,SRR3480249_2.fastq.gz,
SRR3480252,SRS1424522,SRR3480252_1.fastq.gz,SRR3480252_2.fastq.gz,
SRR3480253,SRS1424523,SRR3480253_1.fastq.gz,SRR3480253_2.fastq.gz,
SRR3480254,SRS1424524,SRR3480254_1.fastq.gz,SRR3480254_2.fastq.gz,
SRR3480255,SRS1424525,SRR3480255_1.fastq.gz,SRR3480255_2.fastq.gz,
SRR3480256,SRS1424526,SRR3480256_1.fastq.gz,SRR3480256_2.fastq.gz,
SRR3480257,SRS1424527,SRR3480257_1.fastq.gz,SRR3480257_2.fastq.gz,
SRR3480258,SRS1424528,SRR3480258_1.fastq.gz,SRR3480258_2.fastq.gz,
SRR3480259,SRS1424529,SRR3480259_1.fastq.gz,SRR3480259_2.fastq.gz,
SRR3480260,SRS1424530,SRR3480260_1.fastq.gz,SRR3480260_2.fastq.gz,
SRR3480261,SRS1424531,SRR3480261_1.fastq.gz,SRR3480261_2.fastq.gz,
SRR3480263,SRS1424532,SRR3480263_1.fastq.gz,SRR3480263_2.fastq.gz,
SRR3480264,SRS1424533,SRR3480264_1.fastq.gz,SRR3480264_2.fastq.gz,
SRR3480265,SRS1424534,SRR3480265_1.fastq.gz,SRR3480265_2.fastq.gz,
SRR3480266,SRS1424535,SRR3480266_1.fastq.gz,SRR3480266_2.fastq.gz,
SRR3480268,SRS1424536,SRR3480268_1.fastq.gz,SRR3480268_2.fastq.gz,
SRR3480269,SRS1424537,SRR3480269_1.fastq.gz,SRR3480269_2.fastq.gz,
SRR3480270,SRS1424538,SRR3480270_1.fastq.gz,SRR3480270_2.fastq.gz,
SRR3480271,SRS1424539,SRR3480271_1.fastq.gz,SRR3480271_2.fastq.gz,
SRR3480272,SRS1424540,SRR3480272_1.fastq.gz,SRR3480272_2.fastq.gz,
SRR3480273,SRS1424540,SRR3480273_1.fastq.gz,SRR3480273_2.fastq.gz,
SRR3480275,SRS1424541,SRR3480275_1.fastq.gz,SRR3480275_2.fastq.gz,
SRR3480276,SRS1424542,SRR3480276_1.fastq.gz,SRR3480276_2.fastq.gz,
SRR3480277,SRS1424542,SRR3480277_1.fastq.gz,SRR3480277_2.fastq.gz,
SRR3480278,SRS1424543,SRR3480278_1.fastq.gz,SRR3480278_2.fastq.gz,
SRR3480279,SRS1424543,SRR3480279_1.fastq.gz,SRR3480279_2.fastq.gz,
SRR3480280,SRS1424544,SRR3480280_1.fastq.gz,SRR3480280_2.fastq.gz,
SRR3480281,SRS1424544,SRR3480281_1.fastq.gz,SRR3480281_2.fastq.gz,
SRR3480282,SRS1424545,SRR3480282_1.fastq.gz,SRR3480282_2.fastq.gz,
SRR3480283,SRS1424545,SRR3480283_1.fastq.gz,SRR3480283_2.fastq.gz,
SRR3480284,SRS1424548,SRR3480284_1.fastq.gz,SRR3480284_2.fastq.gz,
SRR3480285,SRS1424546,SRR3480285_1.fastq.gz,SRR3480285_2.fastq.gz,
SRR3480290,SRS1424546,SRR3480290_1.fastq.gz,SRR3480290_2.fastq.gz,
SRR3480291,SRS1424546,SRR3480291_1.fastq.gz,SRR3480291_2.fastq.gz,
SRR3480286,SRS1424547,SRR3480286_1.fastq.gz,SRR3480286_2.fastq.gz,
SRR3480287,SRS1424547,SRR3480287_1.fastq.gz,SRR3480287_2.fastq.gz,
SRR3480288,SRS1424547,SRR3480288_1.fastq.gz,SRR3480288_2.fastq.gz,
SRR3480289,SRS1424547,SRR3480289_1.fastq.gz,SRR3480289_2.fastq.gz,
SRR3480292,SRS1424549,SRR3480292_1.fastq.gz,SRR3480292_2.fastq.gz,
SRR3480293,SRS1424550,SRR3480293_1.fastq.gz,SRR3480293_2.fastq.gz,
SRR3992610,SRS1596529,SRR3992610_1.fastq.gz,SRR3992610_2.fastq.gz,
SRR3992611,SRS1596530,SRR3992611_1.fastq.gz,SRR3992611_2.fastq.gz,
SRR3992612,SRS1596531,SRR3992612_1.fastq.gz,SRR3992612_2.fastq.gz,
SRR3992613,SRS1596532,SRR3992613_1.fastq.gz,SRR3992613_2.fastq.gz,
SRR3992614,SRS1596533,SRR3992614_1.fastq.gz,SRR3992614_2.fastq.gz,
SRR3992615,SRS1596535,SRR3992615_1.fastq.gz,SRR3992615_2.fastq.gz,
SRR3992616,SRS1596536,SRR3992616_1.fastq.gz,SRR3992616_2.fastq.gz,
SRR3992617,SRS1596538,SRR3992617_1.fastq.gz,SRR3992617_2.fastq.gz,
SRR3992618,SRS1596537,SRR3992618_1.fastq.gz,SRR3992618_2.fastq.gz,
SRR3992619,SRS1596539,SRR3992619_1.fastq.gz,SRR3992619_2.fastq.gz,
SRR3992620,SRS1596540,SRR3992620_1.fastq.gz,SRR3992620_2.fastq.gz,
SRR3992621,SRS1596541,SRR3992621_1.fastq.gz,SRR3992621_2.fastq.gz,
SRR3992622,SRS1596542,SRR3992622_1.fastq.gz,SRR3992622_2.fastq.gz,
SRR3992623,SRS1596543,SRR3992623_1.fastq.gz,SRR3992623_2.fastq.gz,
SRR3992624,SRS1596545,SRR3992624_1.fastq.gz,SRR3992624_2.fastq.gz,
SRR3992625,SRS1596544,SRR3992625_1.fastq.gz,SRR3992625_2.fastq.gz,
SRR3992626,SRS1596546,SRR3992626_1.fastq.gz,SRR3992626_2.fastq.gz,
SRR3992627,SRS1596547,SRR3992627_1.fastq.gz,SRR3992627_2.fastq.gz,
SRR3992628,SRS1596548,SRR3992628_1.fastq.gz,SRR3992628_2.fastq.gz,
SRR3992629,SRS1596549,SRR3992629_1.fastq.gz,SRR3992629_2.fastq.gz,
SRR3992630,SRS1596550,SRR3992630_1.fastq.gz,SRR3992630_2.fastq.gz,
SRR20576738,SRS14235650,SRR20576738_1.fastq.gz,SRR20576738_2.fastq.gz,
SRR20576739,SRS14235649,SRR20576739_1.fastq.gz,SRR20576739_2.fastq.gz,
SRR20576742,SRS14235646,SRR20576742_1.fastq.gz,SRR20576742_2.fastq.gz,
SRR20576743,SRS14235645,SRR20576743_1.fastq.gz,SRR20576743_2.fastq.gz,
SRR20576744,SRS14235644,SRR20576744_1.fastq.gz,SRR20576744_2.fastq.gz,
SRR20576745,SRS14235643,SRR20576745_1.fastq.gz,SRR20576745_2.fastq.gz,
SRR20576746,SRS14235642,SRR20576746_1.fastq.gz,SRR20576746_2.fastq.gz,
SRR20576747,SRS14235641,SRR20576747_1.fastq.gz,SRR20576747_2.fastq.gz,
SRR20576748,SRS14235640,SRR20576748_1.fastq.gz,SRR20576748_2.fastq.gz,
SRR20576749,SRS14235639,SRR20576749_1.fastq.gz,SRR20576749_2.fastq.gz,
SRR20576750,SRS14235638,SRR20576750_1.fastq.gz,SRR20576750_2.fastq.gz,
SRR20576751,SRS14235637,SRR20576751_1.fastq.gz,SRR20576751_2.fastq.gz,
SRR20576752,SRS14235636,SRR20576752_1.fastq.gz,SRR20576752_2.fastq.gz,
